"Node id (0-based)","[0] vertex (==1)","[1] degree","[2] 2-path","[3] bifork","[4] 3-cycle"
1036,1,12,101,50,16
1037,1,6,39,11,4
1038,1,13,116,54,24
1039,1,6,18,5,10
1040,1,0,0,-0,0
1041,1,4,10,3,3
1042,1,14,110,61,30
1043,1,5,30,10,0
1044,1,16,188,74,46
1045,1,15,105,58,47
1046,1,17,163,108,28
1047,1,12,97,48,18
1048,1,9,57,28,8
1049,1,11,92,33,22
1050,1,17,186,89,47
1051,1,4,31,4,2
1052,1,7,35,10,11
1053,1,2,5,1,0
1054,1,10,73,29,16
1055,1,8,51,18,10
1056,1,7,60,15,6
1057,1,1,0,0,0
1058,1,9,55,26,10
1059,1,12,88,55,11
1060,1,10,78,32,13
1061,1,12,73,44,22
1062,1,14,75,68,23
1063,1,2,4,1,0
1064,1,4,19,5,1
1065,1,6,28,11,4
1066,1,6,32,11,4
1067,1,9,55,28,8
1068,1,11,63,45,10
1069,1,10,60,35,10
1070,1,9,59,28,8
1071,1,2,4,0,1
1072,1,12,64,53,13
1073,1,4,22,4,2
1074,1,3,13,2,1
1075,1,11,61,45,10
1076,1,3,16,3,0
1077,1,3,22,0,3
1078,1,0,0,-0,0
1079,1,12,84,11,55
1080,1,12,42,29,37
1081,1,5,35,9,1
1082,1,15,109,66,39
1083,1,4,26,5,1
1084,1,10,58,38,7
1085,1,10,82,24,21
1086,1,12,117,52,14
1087,1,1,2,0,0
1088,1,11,75,33,22
1089,1,14,103,66,25
1090,1,13,96,60,18
1091,1,5,40,7,3
1092,1,3,3,2,1
1093,1,1,2,0,0
1094,1,2,13,0,1
1095,1,6,33,9,6
1096,1,5,16,9,1
1097,1,1,2,0,0
1098,1,3,17,2,1
1099,1,20,184,133,57
1100,1,16,208,74,46
1101,1,10,90,33,12
1102,1,1,1,0,0
1103,1,16,100,53,67
1104,1,9,53,29,7
1105,1,27,302,264,87
1106,1,5,58,4,6
1107,1,20,209,150,40
1108,1,7,63,14,7
1109,1,16,142,100,20
1110,1,10,111,38,7
1111,1,12,131,52,14
1112,1,19,128,111,60
1113,1,18,169,122,31
1114,1,10,112,16,29
1115,1,18,198,124,29
1116,1,19,171,140,31
1117,1,26,368,255,70
1118,1,15,157,82,23
1119,1,10,98,33,12
1120,1,13,108,58,20
1121,1,19,205,133,38
1122,1,15,101,59,46
1123,1,7,64,17,4
1124,1,22,204,175,56
1125,1,25,340,206,94
1126,1,10,104,34,11
1127,1,21,246,165,45
1128,1,9,49,20,16
